tipo,elemento,x1,y1,x2,y2,ancho_px,alto_px,valor_x,valor_y,texto,descripcion
curva,punto,160,59.5,,,,,,,,"Punto de la curva en píxel (160, 59.5); sin calibración suficiente para valor real."
curva,punto,161,59.5,,,,,,,,"Punto de la curva en píxel (161, 59.5); sin calibración suficiente para valor real."
curva,punto,162,60.0,,,,,,,,"Punto de la curva en píxel (162, 60.0); sin calibración suficiente para valor real."
curva,punto,163,60.0,,,,,,,,"Punto de la curva en píxel (163, 60.0); sin calibración suficiente para valor real."
curva,punto,164,60.5,,,,,,,,"Punto de la curva en píxel (164, 60.5); sin calibración suficiente para valor real."
curva,punto,165,61.0,,,,,,,,"Punto de la curva en píxel (165, 61.0); sin calibración suficiente para valor real."
curva,punto,166,61.0,,,,,,,,"Punto de la curva en píxel (166, 61.0); sin calibración suficiente para valor real."
curva,punto,167,61.0,,,,,,,,"Punto de la curva en píxel (167, 61.0); sin calibración suficiente para valor real."
curva,punto,168,61.5,,,,,,,,"Punto de la curva en píxel (168, 61.5); sin calibración suficiente para valor real."
curva,punto,169,61.5,,,,,,,,"Punto de la curva en píxel (169, 61.5); sin calibración suficiente para valor real."
curva,punto,170,62.0,,,,,,,,"Punto de la curva en píxel (170, 62.0); sin calibración suficiente para valor real."
curva,punto,171,62.0,,,,,,,,"Punto de la curva en píxel (171, 62.0); sin calibración suficiente para valor real."
curva,punto,172,62.5,,,,,,,,"Punto de la curva en píxel (172, 62.5); sin calibración suficiente para valor real."
curva,punto,173,63.0,,,,,,,,"Punto de la curva en píxel (173, 63.0); sin calibración suficiente para valor real."
curva,punto,174,63.0,,,,,,,,"Punto de la curva en píxel (174, 63.0); sin calibración suficiente para valor real."
curva,punto,175,63.0,,,,,,,,"Punto de la curva en píxel (175, 63.0); sin calibración suficiente para valor real."
curva,punto,176,63.5,,,,,,,,"Punto de la curva en píxel (176, 63.5); sin calibración suficiente para valor real."
curva,punto,177,64.0,,,,,,,,"Punto de la curva en píxel (177, 64.0); sin calibración suficiente para valor real."
curva,punto,178,64.0,,,,,,,,"Punto de la curva en píxel (178, 64.0); sin calibración suficiente para valor real."
curva,punto,179,64.0,,,,,,,,"Punto de la curva en píxel (179, 64.0); sin calibración suficiente para valor real."
curva,punto,180,65.0,,,,,,,,"Punto de la curva en píxel (180, 65.0); sin calibración suficiente para valor real."
curva,punto,181,65.0,,,,,,,,"Punto de la curva en píxel (181, 65.0); sin calibración suficiente para valor real."
curva,punto,182,65.0,,,,,,,,"Punto de la curva en píxel (182, 65.0); sin calibración suficiente para valor real."
curva,punto,183,65.5,,,,,,,,"Punto de la curva en píxel (183, 65.5); sin calibración suficiente para valor real."
curva,punto,184,66.0,,,,,,,,"Punto de la curva en píxel (184, 66.0); sin calibración suficiente para valor real."
curva,punto,185,66.5,,,,,,,,"Punto de la curva en píxel (185, 66.5); sin calibración suficiente para valor real."
curva,punto,186,67.0,,,,,,,,"Punto de la curva en píxel (186, 67.0); sin calibración suficiente para valor real."
curva,punto,187,67.0,,,,,,,,"Punto de la curva en píxel (187, 67.0); sin calibración suficiente para valor real."
curva,punto,188,67.5,,,,,,,,"Punto de la curva en píxel (188, 67.5); sin calibración suficiente para valor real."
curva,punto,189,68.0,,,,,,,,"Punto de la curva en píxel (189, 68.0); sin calibración suficiente para valor real."
curva,punto,190,68.5,,,,,,,,"Punto de la curva en píxel (190, 68.5); sin calibración suficiente para valor real."
curva,punto,191,69.0,,,,,,,,"Punto de la curva en píxel (191, 69.0); sin calibración suficiente para valor real."
curva,punto,192,69.5,,,,,,,,"Punto de la curva en píxel (192, 69.5); sin calibración suficiente para valor real."
curva,punto,193,70.0,,,,,,,,"Punto de la curva en píxel (193, 70.0); sin calibración suficiente para valor real."
curva,punto,194,70.0,,,,,,,,"Punto de la curva en píxel (194, 70.0); sin calibración suficiente para valor real."
curva,punto,195,71.0,,,,,,,,"Punto de la curva en píxel (195, 71.0); sin calibración suficiente para valor real."
curva,punto,196,71.0,,,,,,,,"Punto de la curva en píxel (196, 71.0); sin calibración suficiente para valor real."
curva,punto,197,71.5,,,,,,,,"Punto de la curva en píxel (197, 71.5); sin calibración suficiente para valor real."
curva,punto,198,72.0,,,,,,,,"Punto de la curva en píxel (198, 72.0); sin calibración suficiente para valor real."
curva,punto,199,72.5,,,,,,,,"Punto de la curva en píxel (199, 72.5); sin calibración suficiente para valor real."
curva,punto,200,73.0,,,,,,,,"Punto de la curva en píxel (200, 73.0); sin calibración suficiente para valor real."
curva,punto,201,73.5,,,,,,,,"Punto de la curva en píxel (201, 73.5); sin calibración suficiente para valor real."
curva,punto,202,74.0,,,,,,,,"Punto de la curva en píxel (202, 74.0); sin calibración suficiente para valor real."
curva,punto,203,74.5,,,,,,,,"Punto de la curva en píxel (203, 74.5); sin calibración suficiente para valor real."
curva,punto,204,75.0,,,,,,,,"Punto de la curva en píxel (204, 75.0); sin calibración suficiente para valor real."
curva,punto,205,75.0,,,,,,,,"Punto de la curva en píxel (205, 75.0); sin calibración suficiente para valor real."
curva,punto,206,75.5,,,,,,,,"Punto de la curva en píxel (206, 75.5); sin calibración suficiente para valor real."
curva,punto,207,76.0,,,,,,,,"Punto de la curva en píxel (207, 76.0); sin calibración suficiente para valor real."
curva,punto,208,76.5,,,,,,,,"Punto de la curva en píxel (208, 76.5); sin calibración suficiente para valor real."
curva,punto,209,76.5,,,,,,,,"Punto de la curva en píxel (209, 76.5); sin calibración suficiente para valor real."
curva,punto,210,77.5,,,,,,,,"Punto de la curva en píxel (210, 77.5); sin calibración suficiente para valor real."
curva,punto,211,78.0,,,,,,,,"Punto de la curva en píxel (211, 78.0); sin calibración suficiente para valor real."
curva,punto,212,78.0,,,,,,,,"Punto de la curva en píxel (212, 78.0); sin calibración suficiente para valor real."
curva,punto,213,79.0,,,,,,,,"Punto de la curva en píxel (213, 79.0); sin calibración suficiente para valor real."
curva,punto,214,79.0,,,,,,,,"Punto de la curva en píxel (214, 79.0); sin calibración suficiente para valor real."
curva,punto,215,79.5,,,,,,,,"Punto de la curva en píxel (215, 79.5); sin calibración suficiente para valor real."
curva,punto,216,80.0,,,,,,,,"Punto de la curva en píxel (216, 80.0); sin calibración suficiente para valor real."
curva,punto,217,81.0,,,,,,,,"Punto de la curva en píxel (217, 81.0); sin calibración suficiente para valor real."
curva,punto,218,81.0,,,,,,,,"Punto de la curva en píxel (218, 81.0); sin calibración suficiente para valor real."
curva,punto,219,81.5,,,,,,,,"Punto de la curva en píxel (219, 81.5); sin calibración suficiente para valor real."
curva,punto,220,81.5,,,,,,,,"Punto de la curva en píxel (220, 81.5); sin calibración suficiente para valor real."
curva,punto,221,82.5,,,,,,,,"Punto de la curva en píxel (221, 82.5); sin calibración suficiente para valor real."
curva,punto,222,83.0,,,,,,,,"Punto de la curva en píxel (222, 83.0); sin calibración suficiente para valor real."
curva,punto,223,83.0,,,,,,,,"Punto de la curva en píxel (223, 83.0); sin calibración suficiente para valor real."
curva,punto,224,83.5,,,,,,,,"Punto de la curva en píxel (224, 83.5); sin calibración suficiente para valor real."
curva,punto,225,84.0,,,,,,,,"Punto de la curva en píxel (225, 84.0); sin calibración suficiente para valor real."
curva,punto,226,84.5,,,,,,,,"Punto de la curva en píxel (226, 84.5); sin calibración suficiente para valor real."
curva,punto,227,85.0,,,,,,,,"Punto de la curva en píxel (227, 85.0); sin calibración suficiente para valor real."
curva,punto,228,85.5,,,,,,,,"Punto de la curva en píxel (228, 85.5); sin calibración suficiente para valor real."
curva,punto,229,86.0,,,,,,,,"Punto de la curva en píxel (229, 86.0); sin calibración suficiente para valor real."
curva,punto,230,86.0,,,,,,,,"Punto de la curva en píxel (230, 86.0); sin calibración suficiente para valor real."
curva,punto,231,86.5,,,,,,,,"Punto de la curva en píxel (231, 86.5); sin calibración suficiente para valor real."
curva,punto,232,87.0,,,,,,,,"Punto de la curva en píxel (232, 87.0); sin calibración suficiente para valor real."
curva,punto,233,87.5,,,,,,,,"Punto de la curva en píxel (233, 87.5); sin calibración suficiente para valor real."
curva,punto,234,88.0,,,,,,,,"Punto de la curva en píxel (234, 88.0); sin calibración suficiente para valor real."
curva,punto,235,88.0,,,,,,,,"Punto de la curva en píxel (235, 88.0); sin calibración suficiente para valor real."
curva,punto,236,89.0,,,,,,,,"Punto de la curva en píxel (236, 89.0); sin calibración suficiente para valor real."
curva,punto,237,89.0,,,,,,,,"Punto de la curva en píxel (237, 89.0); sin calibración suficiente para valor real."
curva,punto,238,90.0,,,,,,,,"Punto de la curva en píxel (238, 90.0); sin calibración suficiente para valor real."
curva,punto,239,90.0,,,,,,,,"Punto de la curva en píxel (239, 90.0); sin calibración suficiente para valor real."
curva,punto,240,91.0,,,,,,,,"Punto de la curva en píxel (240, 91.0); sin calibración suficiente para valor real."
curva,punto,241,91.0,,,,,,,,"Punto de la curva en píxel (241, 91.0); sin calibración suficiente para valor real."
curva,punto,242,91.5,,,,,,,,"Punto de la curva en píxel (242, 91.5); sin calibración suficiente para valor real."
curva,punto,243,92.0,,,,,,,,"Punto de la curva en píxel (243, 92.0); sin calibración suficiente para valor real."
curva,punto,244,92.5,,,,,,,,"Punto de la curva en píxel (244, 92.5); sin calibración suficiente para valor real."
curva,punto,245,93.0,,,,,,,,"Punto de la curva en píxel (245, 93.0); sin calibración suficiente para valor real."
curva,punto,246,93.0,,,,,,,,"Punto de la curva en píxel (246, 93.0); sin calibración suficiente para valor real."
curva,punto,247,93.5,,,,,,,,"Punto de la curva en píxel (247, 93.5); sin calibración suficiente para valor real."
curva,punto,248,94.0,,,,,,,,"Punto de la curva en píxel (248, 94.0); sin calibración suficiente para valor real."
curva,punto,249,94.5,,,,,,,,"Punto de la curva en píxel (249, 94.5); sin calibración suficiente para valor real."
curva,punto,250,95.0,,,,,,,,"Punto de la curva en píxel (250, 95.0); sin calibración suficiente para valor real."
curva,punto,251,95.5,,,,,,,,"Punto de la curva en píxel (251, 95.5); sin calibración suficiente para valor real."
